* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	140922.12
1991	137404.56
1992	133974.81
1993	130630.66
1994	127369.99
1995	124190.71
1996	121090.79
1997	118068.24
1998	115121.14
1999	112247.6
2000	109445.79
2001	106713.91
2002	104050.22
2003	101453.03
2004	98920.66
2005	96451.5
2006	94043.97
2007	91696.54
2008	89407.71
2009	87176
2010	85000
2011	82815.5
2012	80687.14
2013	78613.48
2014	76593.12
2015	74624.67
2016	72706.82
2017	70838.25
2018	69017.71
2019	67243.95
2020	65515.79
2021	63832.03
2022	62191.55
2023	60593.22
2024	59035.98
2025	57518.75
2026	56040.52
2027	54600.28
2028	53197.05
2029	51829.89
2030	50497.86
2031	49200.07
2032	47935.62
2033	46703.68
2034	45503.39
2035	44333.96
2036	43194.57
2037	42084.47
2038	41002.9
2039	39949.13
2040	38922.44
2041	37922.13
2042	36947.53
2043	35997.98
2044	35072.83
2045	34171.46
2046	33293.25
2047	32437.62
2048	31603.97
2049	30791.75
2050	30000.4
2051	29229.39
2052	28478.19
2053	27746.3
2054	27033.22
2055	26338.47
2056	25661.57
2057	25002.07
2058	24359.52
2059	23733.48
2060	23123.53
2061	22529.25
2062	21950.25
2063	21386.13
2064	20836.5
2065	20301.01
2066	19779.27
2067	19270.94
2068	18775.68
2069	18293.14
2070	17823.01
2071	17364.96
2072	16918.68
2073	16483.87
2074	16060.23
2075	15647.49
2076	15245.35
2077	14853.54
2078	14471.8
2079	14099.88
2080	13737.51
2081	13384.46
2082	13040.48
2083	12705.34
2084	12378.81
2085	12060.68
2086	11750.72
2087	11448.72
2088	11154.49
2089	10867.82
2090	10588.52
2091	10316.39
2092	10051.26
2093	9792.94
2094	9541.26
2095	9296.05
2096	9057.15
2097	8824.38
2098	8597.59
2099	8376.63
2100	8161.35
