* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	140922.12
1991	137404.56
1992	133974.81
1993	130630.66
1994	127369.99
1995	124190.71
1996	121090.79
1997	118068.24
1998	115121.14
1999	112247.6
2000	109445.79
2001	106713.91
2002	104050.22
2003	101453.03
2004	98920.66
2005	96451.5
2006	94043.97
2007	91696.54
2008	89407.71
2009	87176
2010	85000
2011	82815.5
2012	80687.14
2013	78613.48
2014	76593.12
2015	74624.67
2016	72706.82
2017	70838.25
2018	69017.71
2019	67243.95
2020	67243.95
2021	67243.95
2022	67243.95
2023	67243.95
2024	67243.95
2025	67243.95
2026	67243.95
2027	67243.95
2028	67243.95
2029	67243.95
2030	67243.95
2031	67243.95
2032	67243.95
2033	67243.95
2034	67243.95
2035	67243.95
2036	67243.95
2037	67243.95
2038	67243.95
2039	67243.95
2040	67243.95
2041	67243.95
2042	67243.95
2043	67243.95
2044	67243.95
2045	67243.95
2046	67243.95
2047	67243.95
2048	67243.95
2049	67243.95
2050	67243.95
2051	67243.95
2052	67243.95
2053	67243.95
2054	67243.95
2055	67243.95
2056	67243.95
2057	67243.95
2058	67243.95
2059	67243.95
2060	67243.95
2061	67243.95
2062	67243.95
2063	67243.95
2064	67243.95
2065	67243.95
2066	67243.95
2067	67243.95
2068	67243.95
2069	67243.95
2070	67243.95
2071	67243.95
2072	67243.95
2073	67243.95
2074	67243.95
2075	67243.95
2076	67243.95
2077	67243.95
2078	67243.95
2079	67243.95
2080	67243.95
2081	67243.95
2082	67243.95
2083	67243.95
2084	67243.95
2085	67243.95
2086	67243.95
2087	67243.95
2088	67243.95
2089	67243.95
2090	67243.95
2091	67243.95
2092	67243.95
2093	67243.95
2094	67243.95
2095	67243.95
2096	67243.95
2097	67243.95
2098	67243.95
2099	67243.95
2100	67243.95
2101	67243.95
2102	67243.95
2103	67243.95
2104	67243.95
2105	67243.95
2106	67243.95
2107	67243.95
2108	67243.95
2109	67243.95
2110	67243.95
2111	67243.95
2112	67243.95
2113	67243.95
2114	67243.95
2115	67243.95
2116	67243.95
2117	67243.95
2118	67243.95
2119	67243.95
2120	67243.95
2121	67243.95
2122	67243.95
2123	67243.95
2124	67243.95
2125	67243.95
2126	67243.95
2127	67243.95
2128	67243.95
2129	67243.95
2130	67243.95
2131	67243.95
2132	67243.95
2133	67243.95
2134	67243.95
2135	67243.95
2136	67243.95
2137	67243.95
2138	67243.95
2139	67243.95
2140	67243.95
2141	67243.95
2142	67243.95
2143	67243.95
2144	67243.95
2145	67243.95
2146	67243.95
2147	67243.95
2148	67243.95
2149	67243.95
2150	67243.95
